"brokertitle","type","price","beds","bath","propertysqft","address","state","administrative_area_level_2","latitude","longitude","postcode"
COMPASS,Townhouse for sale,1999000.0,5,4,3000.0,"594 Court St","Brooklyn, NY ",United States,40.6735597,-74.0004525,"11231"
COMPASS,Townhouse for sale,9000000.0,5,4,17860.0,"177 S 4th St","Brooklyn, NY ",United States,40.7113609,-73.9608466,"11211"
COMPASS,Co-op for sale,575000.0,3,2,1350.0,"65-10 108th St Unit 3M","Queens, NY ",New York,40.7313424,-73.8489073,"11375"
Serhant,Townhouse for sale,19995000,11,11,11110.0,"46 Laight St","New York, NY ",United States,40.7221603,-74.0078633,"10013"
Brown Harris Stevens,Co-op for sale,399000.0,1,1,2184.207862,"445 E 86th St Apt 3J","Manhattan, NY ",New York,40.7763285,-73.9475088,"10028"
COMPASS,Townhouse for sale,12995000,5,4,4100.0,"25 Perry St","Manhattan, NY ",United States,40.7358634,-74.0022086,"10014"
"Robert Defalco Realty, Inc.",Pending,1245000.0,4,3,2388.0,"44 Summit Ave","Staten Island, NY ","10306",40.5771597,-74.123973,"10306"
Winzone Realty Inc,Condo for sale,798000.0,2,2,1190.0,"206-17 Emily Rd Unit 1002","Bayside, NY ",New York,40.7885879,-73.7872455,"11360"
EXIT REALTY PRIVATE CLIENT,House for sale,475000.0,5,2,1790.0,"1604 Harding Park","Bronx, NY ",United States,40.8102903,-73.8573667,"10473"
EXIT ALL SEASONS REALTY,Condo for sale,399000.0,1,1,616.0,"60-70 Woodhaven Blvd Unit 4H","Elmhurst, NY ",New York,40.7301358,-73.871999,"11373"
Home Global Realty,House for sale,780000.0,3,3,1344.0,"91-11 92nd St","Woodhaven, NY ",United States,40.6891418,-73.8510191,"11421"
Meyers Enterprise Realty Group,Land for sale,119000.0,3,2,2184.207862,"3652 DE Reimer Ave","Bronx, NY ",United States,40.8841699,-73.8388387,"10466"
Ben Bay Realty Company of Staten Island LLC,Condo for sale,450000.0,1,1,776.0,"90 Bay Street Lndg Apt 7H","Staten Island, NY ",New York,40.6403656,-74.0737574,"10301"
CENTURY 21 Milestone Realty,Multi-family home for sale,889000.0,6,3,2184.207862,"120-41 132 St","South Ozone Park, NY ",United States,40.6736135,-73.8061338,"11420"
The Agency,Townhouse for sale,6900000.0,10,10,6060.0,"53 W 94th St","New York, NY ",United States,40.7912137,-73.9671974,"10025"
"Ed Bruno Realty, LLC",House for sale,765000.0,3,4,1888.0,"78 Hooker Pl","Staten Island, NY ",United States,40.6311627,-74.1422028,"10302"
Daniel Gale Sotheby's International Realty,Co-op for sale,399000.0,3,2,1492.0,"18-35 Corporal Kennedy St Unit 2K","Bayside, NY ",New York,40.7812699,-73.78434,"11360"
Bond New York- Columbus Circle,Co-op for sale,585000.0,1,1,2184.207862,"136 W 81st St Apt 4F","New York, NY ",New York,40.7836953,-73.9760584,"10024"
Campione Realty,Multi-family home for sale,1450000.0,12,6,2184.207862,"70-33 65th Pl","Glendale, NY ",United States,40.7030602,-73.8898385,"11385"
EXIT REALTY TOP PROPERTIES,Multi-family home for sale,1388888.0,6,3,2160.0,"2472 E 21st St","Brooklyn, NY ",United States,40.5920325,-73.9491964,"11235"
Hayliam Realty LLC,Multi-family home for sale,779000.0,4,2,2184.207862,"104-37 116th St","Richmond Hill, NY ",United States,40.6847739,-73.8261116,"11418"
COMPASS,Co-op for sale,595000.0,3,2,2184.207862,"775 Lafayette Ave Apt 6D","Brooklyn, NY ",New York,40.6912661,-73.9418745,"11221"
Douglas Elliman - 1995 Broadway,Co-op for sale,395000.0,3,1,2184.207862,"140 W 69th St Apt 106C","New York, NY ",New York,40.7758661,-73.981473,"10023"
RE MAX Edge,House for sale,948000.0,4,2,1492.0,"8647 16th Ave","Brooklyn, NY ",United States,40.6090003,-74.0081041,"11214"
